actual_stars,predicted_stars,explanation,review
4,4,"The review is largely positive, highlighting good food, friendly service, quality drinks, and a pleasant atmosphere. While acknowledging it was slow late night, the reviewer notes it's a good happy hour spot and praises the patio. The overall tone is favorable.","We got here around midnight last Friday... the place was dead. However, they were still serving food..."
5,5,"The reviewer states the etouffee is the best outside of Louisiana, a very strong positive statement indicating high satisfaction.",Brought a friend from Louisiana here.  She says that the crawfish etouffee here is the best she's ha...
3,3,"The review is positive overall, mentioning enjoyment of the food and a regular habit of visiting. However, the phrase ""Typical strip mall pizza"" suggests it's not exceptional, leaning towards average.","Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and filln..."
1,1,"The review expresses extreme dissatisfaction with a grossly overpriced and inaccurate diagnosis, leading to a significant waste of money. The customer explicitly states disappointment and will not return, indicating a very negative experience.","My husband and I were really, really disappointed with our experience at Coulter Infiniti.  We broug..."
5,5,"The review uses overwhelmingly positive language (""Love this place!"", ""amazing!"", ""Must try!"") and indicates repeat business, suggesting a very high level of satisfaction.",Love this place!  Was in phoenix 3 weeks for work.  Ate here 3 times.  The squid salad is amazing!  ...
4,4,"The review is overwhelmingly positive, highlighting good location, price, free parking/breakfast, cleanliness, and room size. Minor negatives (bathroom noise) are acknowledged but don't significantly detract from the overall experience. The reviewer states they would stay again.","This hotel is in a good location for getting to the sports venues downtown, the convention center or..."
4,4,"The review is overwhelmingly positive, praising the food quality, variety, and late-night service. While service is mentioned as inconsistent, a positive experience is also detailed. The enthusiastic tone and specific food recommendations suggest a strong positive impression.",I love that this place has top seafood plates and choices. The services is hit and miss but once i w...
4,5,"The reviewer uses enthusiastic language (""Awesome"", ""awesomer"") and expresses strong positive sentiment towards both ramen and boba tea, indicating a highly positive experience.",Awesome if you like ramen...even awesomer if you like boba tea!!!
5,5,"The review uses overwhelmingly positive language (""Great place"", ""favorite places"", ""awesome"", ""generous"") and highlights multiple positive aspects (seating, food quality, portion size).""","Great place for a ""home office"" morning. One of my favorite places - indoor & outdoor seating. Alway..."
1,1,"The review explicitly states dissatisfaction with both service (1 star) and food quality (specifically, extremely small portions of meat), and concludes with a statement of not returning. This strongly indicates a very negative experience and a 1-star rating.","1 star for service, but the food is not ok :( they literally put 4 pieces of chicken on my taco. I l..."
4,4,"The review is overwhelmingly positive, highlighting good food, efficient service for a large group, and a reasonable price. While not ecstatic, it's a very satisfied customer experience.",Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at ...
5,5,"The review is overwhelmingly positive, using words like ""great"" repeatedly and highlighting multiple positive aspects (atmosphere, people, prices, accommodating staff). The slight caveat at the end (""If you have the right mind"") doesn't detract from the overall enthusiastic tone.","This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring..."
3,5,The review expresses strong enthusiasm for Air Jordans with a rhetorical question implying they are universally known and loved. This indicates a very positive experience.,Air Jordan! need I say more?
4,4,"The review is overwhelmingly positive, highlighting convenience, good prices, selection, and helpful details. The only negative point is a minor caution about the deli staff, but even that is tempered with understanding. The reviewer clearly finds this Fry's location valuable and reliable.",There are many other reviews which extol the virtues of this location. I just wanted to add some of ...
5,5,"The review expresses extreme gratitude and highlights exceptional service going above and beyond (phone support, quick dispatch of help). The user also states they will continue referring, indicating high satisfaction.",TJ was there for me when my water heater broke and started flooding my garage.  He walked me through...
2,3,"The review is mixed. While the burger is described as 'good', the sides and drinks are considered average or overpriced, leading to an overall 'okay' experience. This aligns with a 3-star rating.","So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
Th..."
4,3,"The review is mixed. While the reviewer acknowledges the quality of the store, they feel uncomfortable there and were dissatisfied with the registry experience (misspelled name). It's not a strongly negative experience, but not positive enough for 4 or 5 stars.","I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel c..."
4,4,"The review highlights a positive aspect of Red Robin (the petite burger option for calorie control) and provides helpful information for others with similar dietary goals. While not overwhelmingly enthusiastic, it's a positive experience.","I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""peti..."
5,5,"The review uses highly positive language (""Great"", ""awesome"", ""must have"") and expresses strong enthusiasm for the food. This indicates a very positive experience.",Great pizza and awesome must have guacamole pizza appitizer!!!!
5,4,"The review highlights the airport's convenience and speed, despite its limited airline options. The author explicitly states it was a positive experience getting to their destination quickly. The snack comment is minor and doesn't detract from the overall positive sentiment.",This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa are...
5,4,"The review is overwhelmingly positive, praising the burger as ""fantastic"" and noting improvement with the fries. While there are minor criticisms (cups, drink size), they don't detract significantly from the overall enjoyment. The messy burger is even presented as a positive.",Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burg...
5,4,"The review is overwhelmingly positive, praising the food quality, variety, value, and friendly service. While acknowledging the less-than-ideal ambiance (being located in a casino), the reviewer explicitly states it's 'worth a visit' and a 'gem', indicating a strong positive experience despite the surroundings.",Simple but really great cajun food prepared in steamers right in front of you.  Selections include g...
1,1,"The review is overwhelmingly negative, citing rude staff, hidden pricing, overpriced activities, uncomfortable temperatures, and malfunctioning equipment. This indicates a very poor experience.","Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling ..."
4,4,"The review is overwhelmingly positive, highlighting excellent staff service, good food, and a fantastic pool. The only negative is the noise from the courtyard, which is a specific room issue and doesn't detract significantly from the overall experience.",The staff is really helpful.  I arrived without credit card due to a travel mishap and they were gre...
4,5,"The review is overwhelmingly positive, highlighting fresh, hot food, friendly service, and a pleasant experience. The reviewer explicitly states it's a ""great little place"" they will return to.","Someone asked the question in the Yelp talk threads where the best place was for fried things, like ..."
4,4,"The review is overwhelmingly positive, praising the food quality (pork, sauce, horchata) and value. While they didn't get burritos, they were still 'fully satisfied,' indicating a very good experience.","After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of ..."
1,2,"The review expresses strong dissatisfaction with pricing (""way too high""), indicating a negative experience. While not the most scathing review, it's unlikely to warrant a higher rating.",Prices are often way too high!
4,4,"The review is largely positive, highlighting good value for money (2 for $13.99 special, happy hour), fast and friendly service, and decent food quality. While there are minor complaints (price of first drink in 2-for-1 deal), the overall tone is very favorable and expectations were exceeded.",I have been to this place twice so far.  The first time I had no idea what to expect since I never h...
2,2,"The review highlights significant negatives (saw always out of service, higher prices) alongside minor positives (short checkout, nice garden department). The ""Meh"" sentiment reinforces a generally negative experience, leaning towards a 2-star rating.","The wood saw is always out of service...
The garden department is nice, but the staff is a little st..."
2,2,"The review details extremely poor service â€“ long waits, lack of basic amenities, and unprofessional behavior from the server. While the food (specifically the burrata) was good, the overwhelmingly negative service experience significantly outweighs it, leading to a low rating. The lack of any compensation further contributes to the negative impression.",I've never been to a restaurant where we (a party of 6 with a reservation) sat at a cleared table wi...
1,1,"The review is overwhelmingly negative, citing blandness, lack of key ingredients (peanuts), dryness, and a generally poor taste experience across all three dishes. The reviewer explicitly states they will not return and recommends others go elsewhere.","My wife and I live around the corner, hadn't eaten here in a few months. We got food for take out, M..."
1,1,"The review is overwhelmingly negative, filled with frustration and annoyance at every step of the gas-buying process. The writer expresses strong dislike and vows to never return, indicating a very poor experience.","Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moro..."
3,4,"Despite a less-than-ideal location, the reviewer highly praises the pulled pork and beans, with only minor criticism of the slaw. The intent to return suggests a positive overall experience, leaning towards a 4-star rating.","Found this place by accident.  Not the greatest location.

The pulled pork rates about an 8 on my sc..."
4,5,"The review is overwhelmingly positive and enthusiastic, using terms like ""cutest place ever,"" ""countrilicous,"" and repeatedly praising the food (especially the pancake and bacon). Despite some humorous observations about the clientele and price of items, the overall tone is highly favorable and nostalgic.",I'm a little bit country. I'm a little bit rock n roll...thank you Donny and Marie. Pinnacle Peak Ge...
5,5,"The review is overwhelmingly positive, praising cleanliness, efficiency, friendly staff, and food presentation. The reviewer explicitly states they will return and contrasts this location favorably with other Subways.","This subway is one of the cleanest, and most efficient subways I have EVER been to.  I've only been ..."
5,5,"The review is overwhelmingly positive, highlighting a friendly atmosphere, skilled artists, and a comfortable experience. The reviewer explicitly states they will recommend the shop to others.",I agree with the other reviewers.. Ink bomb is definitely a shop that has a family vibe. All the tat...
5,5,"The review uses extremely positive language (""simply the best,"" ""perfect,"" ""consummate"") and expresses strong satisfaction. The wistful comment about wishing they worked closer further indicates a very positive experience.","Simply the best sandwiches I have ever tasted.

The Mozarella, Tomato, Basil is perfect. The focacci..."
5,4,"The reviewer generally enjoyed the food (chicken and waffles, omelette, lemonade) and would return. While there were minor complaints about portion size and the son's pancakes, the overall experience was positive, outweighing the negatives.","Went here today Sunday about 8:50 and it was crowded but not to bad, about 1/2 hour wait. Im warning..."
4,4,"The review is overwhelmingly positive, praising the BBQ (brisket and ribs) and root beer. Minor complaints about the ordering style and coleslaw don't significantly detract from the overall experience. The long line indicates popularity, which is generally a positive sign.","Great BBQ, although not a huge fan of the cafeteria style ordering. I have been twice, I got the bri..."
2,1,"The review explicitly states a negative experience (""wasted 38 bucks"") and a firm intention to not repeat the purchase (""never again""). This strongly indicates a 1-star rating.",Well I just wasted 38 bucks....never again
3,2,"The review consistently compares the food negatively to other restaurants, stating everything was 'better somewhere else' and 'mediocre'. While service was good, the food quality and value were poor, leading to a low rating.","While staying at The Pointe Hilton Tapatio, we decided to eat here for our anniversary dinner. To su..."
1,2,"The review highlights extremely poor food quality despite good service. The customer explicitly states the food was 'horrible' and details multiple issues with the steak, salad, veggies, and bread. The uncomfortable dining environment further detracts from the experience, leading to a very negative overall impression.","I've eaten here many times, but none as bad as last night.
Service was excellent, and highly attenti..."
1,2,"The review is overwhelmingly negative, filled with disturbing comparisons and criticisms of the clientele and drink quality. While acknowledging potential appeal for those under 21 or new to the club scene, the overall tone is highly critical and paints a very unfavorable picture.",Some of my friends brought me here last night and the first thing that came into my mind was that th...
3,3,"The review details a frustrating and somewhat harrowing experience getting lost, but is written with humor and ultimately ends with a positive outcome (getting a ride). While the hike was poorly marked and stressful, the author doesn't express outright negativity towards the mountain itself, and the story is engaging. It's not a glowing recommendation, but not a terrible experience either.","Uh-oh. Where am I? 

The view from atop the mountain is superb. The city can be seen in all directio..."
4,5,"The review is overwhelmingly positive, praising the food, service, and atmosphere. While acknowledging it's pricey, the reviewer accepts this due to the W Hotel brand and still highly recommends it.","Mmmmm, Mmmmmm, Great food.  The popcorn shrimp here are to die for-they leave a wonderful lasting im..."
4,5,"The review is overwhelmingly positive, praising the staff, food quality (especially spice levels), and prices. The enthusiastic language (""food rocks"", ""best bargain"") and repeated positive comments strongly indicate a 5-star experience.","Decor  functional 
Staff friendly and are really kind to our toddler
food rocks  within my  limited ..."
4,4,"The review is overwhelmingly positive, highlighting a pleasant shopping experience, helpful staff, good selection, and reasonable prices with coupons. While the reviewer didn't find their initial desired item, they still made purchases and plan to return, indicating overall satisfaction.","I was looking for a comforter for my new bed when I realized that this B,B, and B was close by so I ..."
5,5,"The review is overwhelmingly positive, using strong superlatives like ""absolute best"" and praising multiple aspects of the experience (food, setting, drinks). The enthusiastic tone and recommendation strongly suggest a 5-star rating.",I had lunch today at CASK 63 with a banker to discuss our collective power to create business in the...
4,5,"The review is overwhelmingly positive, praising the food quality, portion sizes, and fair pricing. The reviewer explicitly states they are ""very glad"" they went and will ""most definitely come back."" Minor comments about the interior are overshadowed by the enthusiastic description of the dining experience.","While I'm a sushi fan, my husband is a sushi FIEND - we made biweekly trips to his favorite haunt in..."
1,1,"The review expresses extreme dissatisfaction with the service, citing significant lateness, getting lost, and ultimately causing the reviewer to miss a paid class with a non-refundable fee. The language used (""WORST TAXI SERVICE EVER"") is highly negative.","If you have to be some place on time, don't use them.  I called at 2pm for a 4:15 taxi to arrive.  A..."
1,1,"The review explicitly states the food is ""truly awful"" and compares it unfavorably to Panda Express, indicating a very negative experience. Multiple specific food quality issues are cited (wrong meat, falling apart wontons, greasy food).",When owners/staff changed we kept hoping for the best.  (The friendly owners/cooks of the previous r...
3,3,"The reviewer states it's 'okay' and prefers it to Denny's, but doesn't rave about it. The comparison suggests it's a decent, reliable choice, leaning towards average.",I like it better then Denny's so I stop on by to get some breakfast. It's okay not the best place in...
4,4,"The review is overwhelmingly positive, highlighting a unique and enjoyable atmosphere, good food, and quick service. While not exceptional, the experience is described as 'awesome' and 'thrilling', indicating a strong positive sentiment.","Neat!!!!!!!!!!!!!!!!

This place is like a trip to a non-petting zoo and aquarium and aviary while y..."
4,4,"The review highlights consistently good food and service, with only minor drawbacks (shabby decor). The overall tone is positive, indicating a solid 4-star experience.","I've been going to this place for years, and they have always stayed true to their own style.  The p..."
4,4,"The reviewer explicitly states the overall value is a 4 after averaging individual component ratings, and ultimately concludes Nimbus is a good place. While some items were average, the beer selection, service, and deal significantly elevate the experience.","Beer is almost a 4, food is a 3, service was a 4.5.  + Check in deal makes it a 5.  Add that up and ..."
3,3,"The review expresses both positive (layout, view, supporting local business) and negative (price, drink options, dance club concept) sentiments. The overall tone suggests the reviewer likes the potential but has significant reservations, landing it in the middle at 3 stars.","I love the layout of this outdoor bar. However, the price of drinks here and the lack of well option..."
5,5,"Despite a minor drink order issue, the review is overwhelmingly positive, highlighting excellent food (salmon, bread pudding), atmosphere, service, and a clear intention to return. The playful tone and enthusiastic recommendation strongly suggest a 5-star experience.","The waiter got the drink wrong: ""up"" means served strained without ice, not on the rocks, but I was ..."
5,5,"The review uses highly positive language (""in love"", ""super delicious"", ""yummm"") and expresses a strong desire to return, indicating a 5-star experience.",I am in love with Yogurtland fro yo!!  It is super delicious and inexpensive!!  I got the coconut an...
5,5,"The review is overwhelmingly positive, using words like ""never been disappointed,"" ""excellent service,"" and ""friendly."" The reviewer expresses strong loyalty and a clear favorite dish, indicating a very high level of satisfaction.",I found this restaurant when they were located in Buckeye. I have tried everything on the menu proba...
1,2,"The review details multiple negative experiences: increased price, reduced portion size, lack of service, and poor tea preparation. While reminiscing about past positive experiences, the current visit was clearly disappointing, indicating a low rating.",We use to visit this Pub 10 years ago because they had a nice English waitress and excellent fish an...
2,1,The reviewer experienced significant inconvenience and was unable to receive service despite the stated opening time. This indicates a very negative experience.,Writing my 7/29/11 review prompted me to return to this establishment for a manicure. I got there at...
2,2,"The review expresses multiple negative points (under seasoned, store-bought tortillas, no return plan) and only one neutral comment ('beans were ok'). This indicates a generally poor experience.",This place is way under seasoned.  The beans were ok.  I hate that they use store bought tortillas. ...
4,4,"The review is overwhelmingly positive, highlighting a fun atmosphere and good service despite acknowledging some wear and tear. The reviewer explicitly states they had a 'blast' and a 'good time' on both visits, indicating a strong positive experience. The bathroom issue is a drawback, but not severe enough to warrant a lower rating.","If you appreciate a good dive bar, you will love this place!  We came here for the first time when o..."
3,3,"The review is generally neutral. While acknowledging Target is 'standard,' the reviewer expresses disappointment it doesn't feel elevated given its location in an upscale shopping center. The parking/traffic complaints further detract from the experience, but aren't dealbreakers. A 3-star rating reflects this mixed sentiment.",As Target's go this one is standard fare. That consistency is part of their brand recognition. Howev...
4,4,"The reviewer explicitly states they are giving four stars instead of five due to the dirty dining room, but otherwise loves the food and price. This aligns with a strong positive experience tempered by a significant negative.","Let's rewind four years:

""You've never been to Chino Bandido?""
""No, what is it?""
""How long have you..."
2,3,"The review is largely negative, highlighting issues with the food quality (soggy salad, artificial gelato, poorly executed pizzas). However, it acknowledges a 'cool concept' and states it's 'better than Pizza Hut', indicating it's not terrible, but doesn't live up to expectations. This points to a middle-ground rating of 3 stars.","Ahh man,
.....I REALLY wanted this to be good.

But honestly, you end up with something that's more ..."
5,5,"The review uses overwhelmingly positive language (""WOW"", ""excellent"", ""WONDERFUL"", ""BEST""), describes dishes being thoroughly enjoyed, and states intent to return, indicating a highly satisfied customer.",WOW what can I say... our friends have eaten here for years and we finally got to eat at Don and Cha...
5,5,"The review uses highly positive language (""Favorite,"" ""Great,"" ""tender,"" ""Friendly"") and expresses intent to return (""See ya there!""). The ""Nom nom"" further indicates strong enjoyment.","Favorite Pho in the phoenix area so far.  
Great, tender meat in my pho chin nam (#8).
I see they al..."
2,2,"The review expresses clear dissatisfaction with the food quality (dressing and tomatoes), using negative descriptors like ""wasn't impressed"" and ""very very mushy"". This indicates a poor experience, leaning towards a 2-star rating.",Wasn't impressed. Dressing tasted like a store bought bottle dressing and tomatoes very very mushy.
4,4,"The review is overwhelmingly positive, highlighting a great time, tasty apps, good drinks, awesome service, and a pleasant atmosphere. While the calamari wasn't a hit, it was a minor issue and didn't detract significantly from the overall experience. The intention to return is a strong indicator of satisfaction.",This review is specifically for my experience at Trader Vic's last night (a Saturday night) for Happ...
3,3,"The reviewer explicitly states they are giving 3 stars. While they highlight a positive (the sandwich) and offer workarounds for the slow service, the overall rating is clearly stated as 3.","I'm giving the 3 stars solely for 1 reason: 
The veggie sandwich! 

There's normally only 1 person w..."
2,2,"The review explicitly states a significant decline in quality (""gone DOWNHILL, big time"") and uses a highly negative proposed name change, indicating strong dissatisfaction despite past positive experiences.","Years ago, and I do mean years ago, their Mill Avenue location in Tempe, was outstanding.

As they e..."
5,4,"The review is overwhelmingly positive, highlighting good food, originality, and good customer service. While it acknowledges the small interior, the numerous 'pros' and enthusiastic tone suggest a 4-star experience.",Really?  Because it doesn't get any better than this.  For what it is and for what it's worth this p...
4,5,"The review is overwhelmingly positive, using words like ""great,"" ""coolest,"" ""awesome,"" and ""love."" It highlights multiple positive aspects of the bar (bartender, prices, jukebox, entertainment, location) and expresses strong affection for the place.","Oz is a great local bar and a nice change from the bumping Charlie's (which, don't get me wrong, is ..."
3,3,"The review highlights both positive (atmosphere, customer service) and negative (expensive steak, no included side) aspects. The strong negative feeling about value for money and likelihood of not returning pulls the rating down from higher, but the positives prevent it from being very low.","Love the atmosphere and how trendy rhus place is, reminds me of Nip/tuck kinda, the way they have it..."
5,5,"The review uses overwhelmingly positive language (""terrific experience"", ""great people"", ""quick and easy"") and highlights the positive impact of the organization, indicating a very satisfied customer.",I dropped off a ton of things here when I was liquidating my life in this town and it was a terrific...
2,2,The reviewer explicitly states they only go due to convenience and highlights significant billing issues (double charges) requiring bank disputes. This indicates a negative experience despite the convenience.,"I ALWAYS pay in cash at this Panda's. If it wasn't across the street from work, I wouldn't go here a..."
5,5,"The review uses strong positive language (""love love"", ""amazing"", ""very cute and artsy"") indicating a highly favorable experience.",I love love Barrio Cafe. The food is amazing and it is very cute and artsy.
3,4,"The review is largely positive, highlighting a great atmosphere, excellent salsas, and several tasty dishes (mole, calabacitas, pork taco). While the carne asada was a disappointment, the overall experience and intent to return suggest a 4-star rating.",La Condesa is in a rather unassuming location in Phoenix.  But has a nice atmosphere when you get in...
5,4,"The review is overwhelmingly positive, highlighting multiple 'amazing' dishes (chopped salad, bread pudding) and excellent service. While the mushrooms were initially found bland due to flavor contrast, the reviewer ultimately appreciated them, and the overall experience seems very favorable.","Tried the Restaurant Week special, and chose the Stetson chopped salad, mixed mushrooms with polenta..."
4,5,"The review uses overwhelmingly positive language (""Yum!"", ""Delicious"", ""wonderful"", ""devine!"") indicating a highly satisfying experience.","Yum! Delicious tasting pizza, a wonderful atmosphere, and oh those  Nutella crepes are devine!"
4,4,"The review is generally positive, highlighting generous portion sizes, friendly service, and a 'nice place'. While it states the sandwich was 'just good', the overall tone and other positive aspects suggest a 4-star experience.","I had a chicken panini and was more than enough! It was dinner and lunch!

They have this special br..."
4,4,"The reviewer explicitly states 'Four stars' and while they mention rounding up from 3.5, the overall tone is positive, highlighting several excellent dishes and expressing intent to return. The slow service is a significant drawback, but not enough to drop the rating below 4.","I have to admit: I am impressed.

I have been to a few vegan-only-menu restaurants and I was... unde..."
4,4,"The review explicitly states ""Like the 4 stars say..."" and is overwhelmingly positive, highlighting enjoyment of the atmosphere, coffee, staff, and convenience. While not perfect (the pastry comment suggests room for improvement), it's a strong positive experience.","I am a huge fan of local coffee shops with free wifi. I am also a huge fan of iced lattes. I know, h..."
4,4,"The review acknowledges the steak isn't top-tier but heavily emphasizes the atmosphere and overall experience as being exceptional and 'cool,' outweighing the food quality. This points to a very positive experience despite average food, justifying a 4-star rating.","OK, let's face it: there are better steaks in the Valley. As a matter of fact, if you just took the ..."
5,4,"The review is overwhelmingly positive, highlighting many good features (grass, crowd, amenities). The negative comment about the poodles is humorous and doesn't significantly detract from the overall positive experience, and the final sentence reinforces the benefit of the park.","This is a great dog park.  Plenty of grass to run around on, and there is always a good crowd to pla..."
5,5,"The review is overwhelmingly positive, using strong language like ""best ever"" and praising the barber's skill and attention to detail. The author explicitly states they'll be hard-pressed to go elsewhere.",This has got to be the best barber shop I've ever been to in my 38 years on this planet.  I was alwa...
4,4,"The review highlights positive experiences: a good car wash at a reasonable price, no pressure for add-ons, lower gas prices, and a senior discount. While not exceptional, it's a very positive overall experience.",Got a pretty decent HAND car wash for $15.00.  They asked about extras but weren't pushy about it.  ...
4,4,"Positive sentiment expressed with ""home made fresh noodles"" and a favorable comparison to a well-regarded food scene (San Francisco Chinatown) suggests a good experience.",Home made fresh noodles.  Reminds me of San Francisco china town food.
3,4,"The review is generally positive, highlighting a key benefit (finding an item HD didn't have at a good price) and recommending checking the store even for loyal HD customers. While noting it's more 'design-focused', this isn't a negative, and the overall tone is satisfied.","This really is more of a lady's hardware store with more design/decorating stuff, small appliances, ..."
4,4,"The review uses positive language (""great wine bar"", ""so good"", ""cozy"") and describes a pleasant experience with friends. Forgetting the names of the wine and food suggests enjoyment and relaxation, rather than dissatisfaction. The small size is framed positively as 'cozy'.",I found this on yelp and what a great wine bar! I went here last night after work with friends and w...
3,3,"The review is largely neutral, highlighting both positive (decent omelet, patio, 'eye candy') and negative (bland potatoes, slow service) aspects. The overall tone suggests an 'average' experience, leaning towards a 3-star rating.","The very definition of an average brunch.  My omelet was pretty decent, and it's nice that they let ..."
3,3,"The review simply states it's similar to Pei Wei, which is generally considered decent but not exceptional. 'Glorified' suggests a slight upgrade, leaning towards average.",Glorified Pei Wei
5,5,"The review is overwhelmingly positive, using words like ""great,"" ""pleasant,"" ""welcoming,"" ""tasty,"" and ""yum."" The reviewer highlights excellent service, food quality, ambiance, and even restroom cleanliness. They explicitly state they will return and recommend the restaurant.","Another great Italian find!

My BF and I went to Roma Garden for dinner last night because he was gi..."
4,4,"The review is overwhelmingly positive, highlighting good coffee, a pleasant atmosphere, and *especially* friendly staff. While not ecstatic, the reviewer clearly enjoyed the experience and intends to return, indicating a 4-star rating.","I'm not a coffee snob, but I love a good Americano.  

This place has the charm you'd expect from a ..."
5,5,"The review uses overwhelmingly positive language (""amazing"", ""far above expectations"", ""huge and delicious"", ""fantastic"", ""highly recommend"") and expresses strong satisfaction. It's a clear indication of a 5-star experience.",Went here while on vacation in Phoneix based on seeing it on Man vs Food. Could not have been more i...
4,4,"The review is overwhelmingly positive, highlighting spacious rooms, free amenities, and a good location. The reviewer explicitly states they would give 5 stars but deducts one due to the small and underwhelming pool.","The Hyatt Place Scottsdale is a hidden jewel in old town, just off the main drag this place is perfe..."
4,5,"The review is overwhelmingly positive, highlighting cleanliness, good stock, and short wait times. These are all strong indicators of a 5-star experience.",This is my neighborhood grocery store. It's at the two locations I shop at most. It's always clean a...
4,4,"Despite a significant issue with one dish (the Gyro), the reviewer highlights several positives: excellent Chicken Corfu, good salads and soup, attentive service (bill adjustment and promise to address the issue), and a fantastic location/atmosphere. The overall tone is positive and includes a recommendation.",Some of the food here is fantastic such as the Chicken Corfu $14.95 and others like the Gyro I found...
2,2,"The reviewer explicitly states they are giving two stars. While they acknowledge the ice cream is tasty and the selection is good, they strongly criticize the price as being excessively high, making it not worth the cost.","If you have $6 burning a hole in your pocket, and would like a thimble full of ice cream, this is yo..."
4,4,"The review is overwhelmingly positive, praising the atmosphere, beer/wine selection, and most of the food items. While there are minor criticisms (cheese plate, loud music), the overall tone is very favorable and highlights a 'pleasant experience'. The reviewer uses humor and generally positive language.",Loved the atmosphere most of all.  This is a converted bungalow house that should set an example for...
